,U239,Np239,Pu239,Pu240,Pu241,Pu242
A_2425,2.32656e-06,0.000336822,0.00387522,0.000124837,4.1737e-06,5.73741e-08
A_2426,3.82905e-06,0.000554309,0.004729,0.000183643,7.82966e-06,1.40138e-07
A_2427,4.68692e-06,0.000678781,0.00525138,0.000246873,1.15415e-05,2.26926e-07
A_2428,3.07631e-06,0.000445456,0.00430512,0.000151805,5.71502e-06,8.94406e-08
A_2429,3.43071e-06,0.000496934,0.00393583,0.00013655,4.86732e-06,7.21467e-08
A_2430,5.03232e-06,0.000728474,0.00488616,0.000222344,9.83324e-06,1.82681e-07
A_2431,4.18992e-06,0.000606579,0.00543459,0.000246518,1.20015e-05,2.48787e-07
A_2432,2.72098e-06,0.00039383,0.00465842,0.000187178,7.60262e-06,1.28578e-07
A_2433,3.37912e-06,0.0004892,0.00501631,0.000215703,9.52043e-06,1.75333e-07
A_2434,4.92436e-06,0.000712969,0.0037444,0.000120747,4.16376e-06,5.97348e-08
A_2435,4.15798e-06,0.000602157,0.00438308,0.000178961,7.06197e-06,1.16708e-07
A_2436,2.54019e-06,0.000367544,0.00547722,0.00025907,1.27322e-05,2.65992e-07
A_2437,2.20289e-06,0.000318822,0.00484821,0.000194794,8.30456e-06,1.47983e-07
A_2438,3.83028e-06,0.000555031,0.00367171,0.000116105,3.73984e-06,4.94216e-08
A_2439,4.49608e-06,0.000651145,0.00404058,0.000131118,4.83049e-06,7.37958e-08
A_2440,2.99365e-06,0.000433233,0.00532387,0.000245513,1.15432e-05,2.29078e-07
A_2441,5.10745e-06,0.000739518,0.00546217,0.000250438,1.2428e-05,2.62055e-07
A_2442,3.51915e-06,0.000509327,0.00452154,0.000178534,7.23991e-06,1.22518e-07
A_2443,2.81717e-06,0.000407869,0.00418171,0.000140782,5.08713e-06,7.55517e-08
A_2444,4.33082e-06,0.00062677,0.00500418,0.00022875,1.03089e-05,1.9571e-07
A_2445,3.90594e-06,0.000565368,0.0052439,0.000258691,1.22607e-05,2.45384e-07
A_2446,2.42614e-06,0.000351123,0.00448365,0.000170304,6.66346e-06,1.08344e-07
A_2447,3.19024e-06,0.000461921,0.00381913,0.00012823,4.32489e-06,6.04947e-08
A_2448,4.82491e-06,0.000698626,0.00483164,0.000190138,8.1105e-06,1.4395e-07
A_2449,4.67131e-06,0.000675716,0.00378982,0.000129906,4.49053e-06,6.48085e-08
A_2450,3.14468e-06,0.000455218,0.00509367,0.000215683,9.73478e-06,1.84354e-07
A_2451,2.34796e-06,0.000339719,0.00561745,0.000288815,1.43824e-05,3.03983e-07
A_2452,3.97416e-06,0.00057566,0.00453567,0.000170793,6.77709e-06,1.11615e-07
A_2453,4.33931e-06,0.000628214,0.00361012,0.00011263,3.67336e-06,4.97025e-08
A_2454,2.69366e-06,0.000389874,0.00474772,0.000200731,8.51113e-06,1.50734e-07
A_2455,3.53496e-06,0.000511642,0.00533873,0.000220389,1.02904e-05,2.02036e-07
A_2456,5.05889e-06,0.000732336,0.00402116,0.000145442,5.38302e-06,8.30675e-08
A_2457,2.92556e-06,0.000423492,0.00468294,0.000177238,7.30672e-06,1.26232e-07
A_2458,4.51518e-06,0.00065365,0.00560766,0.000269647,1.34219e-05,2.81365e-07
A_2459,3.66014e-06,0.000529566,0.00505813,0.00021867,9.94059e-06,1.9011e-07
A_2460,2.17554e-06,0.000314895,0.00424636,0.000159544,5.93365e-06,9.09294e-08
A_2461,2.57403e-06,0.000372585,0.00449854,0.000180812,7.05886e-06,1.1368e-07
A_2462,4.05339e-06,0.000586783,0.00528714,0.000246472,1.17427e-05,2.37703e-07
A_2463,4.89196e-06,0.000708397,0.00474374,0.000206172,8.92935e-06,1.62086e-07
A_2464,3.2568e-06,0.00047183,0.00375346,0.000119039,4.02999e-06,5.64809e-08
A_2465,2.60863e-06,0.00037745,0.00535652,0.000244447,1.17695e-05,2.40107e-07
A_2466,4.21607e-06,0.000610637,0.00422314,0.000158077,5.99137e-06,9.41965e-08
A_2467,4.98468e-06,0.000721297,0.00357065,0.000112193,3.6722e-06,4.98332e-08
A_2468,3.46514e-06,0.000501649,0.00488496,0.000218414,9.45305e-06,1.70214e-07
A_2469,3.03981e-06,0.000439859,0.005659,0.000283515,1.40902e-05,2.9734e-07
A_2470,4.54946e-06,0.000658698,0.00439599,0.000169993,6.82202e-06,1.14727e-07
A_2471,3.92637e-06,0.000568882,0.00410705,0.000143247,5.11045e-06,7.54163e-08
A_2472,2.24722e-06,0.000325163,0.00520777,0.000211961,9.65166e-06,1.83882e-07
A_2473,3.9725e-06,0.000575036,0.00460466,0.00018179,7.50101e-06,1.28633e-07
A_2474,2.4821e-06,0.0003594,0.00378259,0.000104076,3.40054e-06,4.56703e-08
A_2475,3.18681e-06,0.000461392,0.00412169,0.000154114,5.73381e-06,8.87151e-08
A_2476,4.77238e-06,0.000690998,0.00507981,0.000218605,9.98666e-06,1.92775e-07
A_2477,4.46153e-06,0.000645835,0.00494134,0.00020828,9.10958e-06,1.67331e-07
A_2478,2.83695e-06,0.000410665,0.00394417,0.000137024,4.73476e-06,6.75195e-08
A_2479,2.0804e-06,0.000301209,0.00463085,0.000169717,6.79504e-06,1.13043e-07
A_2480,3.57001e-06,0.000516673,0.00538226,0.000262615,1.27573e-05,2.64245e-07
A_2481,2.18175e-06,0.000315599,0.0057963,0.000288975,1.46426e-05,3.15109e-07
A_2482,3.66451e-06,0.000530645,0.00453019,0.000175287,7.18944e-06,1.23843e-07
A_2483,4.57639e-06,0.000662654,0.00402651,0.000153344,5.54857e-06,8.36369e-08
A_2484,2.92199e-06,0.000422923,0.00515872,0.000227544,1.04257e-05,2.00976e-07
A_2485,3.31008e-06,0.000478994,0.00538307,0.000250454,1.20675e-05,2.47599e-07
A_2486,4.93214e-06,0.000714245,0.00423428,0.000162081,6.18747e-06,9.83196e-08
A_2487,4.12803e-06,0.000598116,0.00376459,0.000116374,3.92302e-06,5.49857e-08
A_2488,2.60849e-06,0.000377535,0.00507051,0.00022156,9.78174e-06,1.8116e-07
A_2489,3.98381e-06,0.000576708,0.00508223,0.000205314,9.21087e-06,1.74468e-07
A_2490,2.3753e-06,0.000343853,0.00408356,0.000140565,5.02056e-06,7.40174e-08
A_2491,3.16163e-06,0.000457707,0.00456829,0.000170592,6.832e-06,1.1339e-07
A_2492,4.62146e-06,0.000669092,0.00531521,0.000262513,1.27671e-05,2.65089e-07
A_2493,5.10131e-06,0.000738345,0.00459254,0.000194711,8.12265e-06,1.4177e-07
A_2494,3.64279e-06,0.000528218,0.00379372,0.000120634,3.98771e-06,5.44369e-08
A_2495,2.74917e-06,0.00039794,0.00428916,0.000160054,6.06454e-06,9.55572e-08
A_2496,4.31604e-06,0.00062488,0.00522842,0.00022236,1.03476e-05,2.01668e-07
A_2497,4.85973e-06,0.000702907,0.00349963,0.000104846,3.3465e-06,4.42779e-08
A_2498,3.20073e-06,0.000463345,0.00465876,0.00018947,7.90476e-06,1.36999e-07
A_2499,2.50237e-06,0.000362082,0.00540715,0.000242243,1.13951e-05,2.23893e-07
A_2500,4.02965e-06,0.000583392,0.00409481,0.000157441,5.82507e-06,8.96245e-08
A_2501,3.56502e-06,0.000516137,0.00379266,0.000130404,4.47302e-06,6.38606e-08
A_2502,2.08754e-06,0.000302078,0.00511414,0.000218855,9.8504e-06,1.85631e-07
A_2503,2.84464e-06,0.000411525,0.00551016,0.000269566,1.3249e-05,2.77628e-07
A_2504,4.4536e-06,0.000644893,0.00438687,0.000155457,6.08915e-06,9.92742e-08
A_2505,3.51314e-06,0.000508648,0.00440185,0.000164539,6.28455e-06,9.99905e-08
A_2506,4.97136e-06,0.000720213,0.00518232,0.000229528,1.08782e-05,2.17373e-07
A_2507,4.25119e-06,0.000615402,0.00478867,0.000209285,8.93344e-06,1.6038e-07
A_2508,2.6502e-06,0.000383593,0.00382542,0.000121386,4.08899e-06,5.66162e-08
A_2509,2.27497e-06,0.000329212,0.0046845,0.000188609,7.79381e-06,1.34309e-07
A_2510,3.84505e-06,0.000556615,0.00557759,0.000295261,1.46356e-05,3.06839e-07
A_2511,4.5249e-06,0.000654967,0.00490031,0.000204126,9.07035e-06,1.70422e-07
A_2512,3.0716e-06,0.000444905,0.00409908,0.000146983,5.31422e-06,7.93992e-08
A_2513,3.09515e-06,0.000447991,0.0047728,0.000189323,8.02404e-06,1.4312e-07
A_2514,4.74648e-06,0.000687067,0.00357759,0.000112694,3.61616e-06,4.80369e-08
A_2515,3.83424e-06,0.000555271,0.00411034,0.000144287,5.3504e-06,8.22401e-08
A_2516,2.33446e-06,0.000337751,0.00537999,0.000260349,1.22971e-05,2.45685e-07
A_2517,2.81394e-06,0.000407372,0.0052804,0.000234406,1.04897e-05,1.95561e-07
A_2518,4.29647e-06,0.000622442,0.00386446,0.000129249,4.51938e-06,6.57148e-08
A_2519,5.08372e-06,0.000736318,0.00432461,0.000166302,6.52109e-06,1.07187e-07
A_2520,3.44753e-06,0.000498844,0.00547998,0.000233264,1.13606e-05,2.35388e-07
A_2521,4.3731e-06,0.000632883,0.00518013,0.000238623,1.12491e-05,2.24638e-07
A_2522,2.92332e-06,0.000423226,0.00443295,0.000157381,6.11388e-06,9.91464e-08
A_2523,2.14046e-06,0.00030977,0.00393593,0.000138179,4.79172e-06,6.84726e-08
A_2524,3.71896e-06,0.000538257,0.00490107,0.000200634,8.66558e-06,1.56257e-07
A_2525,4.06969e-06,0.000589105,0.00559136,0.000270815,1.35148e-05,2.86124e-07
A_2526,2.50587e-06,0.00036257,0.00466816,0.000196027,8.04875e-06,1.37815e-07
A_2527,3.35318e-06,0.0004856,0.00416676,0.000139542,5.05445e-06,7.55523e-08
A_2528,4.85278e-06,0.000702512,0.00497666,0.00022613,1.01938e-05,1.95071e-07
A_2529,4.36094e-06,0.000631631,0.00443527,0.000175268,6.97773e-06,1.16328e-07
A_2530,2.85818e-06,0.000413599,0.00575872,0.000273567,1.37652e-05,2.92084e-07
A_2531,3.55728e-06,0.000514849,0.00499302,0.000237442,1.06493e-05,2.01707e-07
A_2532,5.20979e-06,0.000753311,0.00385408,0.000128885,4.49934e-06,6.52109e-08
A_2533,4.81249e-06,0.000697129,0.00417707,0.00015221,5.73179e-06,9.01503e-08
A_2534,3.18041e-06,0.000460212,0.00531441,0.000255276,1.20875e-05,2.41728e-07
A_2535,2.42302e-06,0.000350676,0.00493153,0.000192288,8.25544e-06,1.47887e-07
A_2536,3.95345e-06,0.00057238,0.00363318,0.000118745,3.93681e-06,5.40079e-08
