,U239,Np239,Pu239,Pu240,Pu241,Pu242
A_0001,2.65689e-06,0.000384463,0.0056006,0.000274336,1.35355e-05,2.83565e-07
A_0002,4.1657e-06,0.000602945,0.00435301,0.000157091,6.16041e-06,1.0071e-07
A_0003,5.08455e-06,0.000735805,0.00381358,0.000133571,4.58306e-06,6.52159e-08
A_0004,3.41791e-06,0.000494833,0.00499141,0.000216341,9.65385e-06,1.81371e-07
A_0005,2.96873e-06,0.00042959,0.00518694,0.000225587,1.05036e-05,2.05341e-07
A_0006,4.633e-06,0.000670542,0.00409749,0.000151796,5.61128e-06,8.64289e-08
A_0007,3.81229e-06,0.000552532,0.00360798,0.00010531,3.43918e-06,4.63788e-08
A_0008,2.28629e-06,0.000330845,0.0049127,0.000200789,8.54319e-06,1.51336e-07
A_0009,4.08002e-06,0.000590873,0.00518837,0.000213623,9.68954e-06,1.83849e-07
A_0010,2.47231e-06,0.000357908,0.00419304,0.000151576,5.56598e-06,8.48807e-08
A_0011,3.25622e-06,0.000471258,0.00466175,0.00018232,7.46202e-06,1.27719e-07
A_0012,4.73392e-06,0.000684913,0.0054328,0.000269216,1.32514e-05,2.77162e-07
A_0013,4.38577e-06,0.000634945,0.00472837,0.000215285,9.23511e-06,1.67051e-07
A_0014,2.89367e-06,0.000419162,0.00392417,0.000128117,4.35702e-06,6.10189e-08
A_0015,2.04283e-06,0.000295611,0.00441239,0.000168551,6.55804e-06,1.05706e-07
A_0016,3.6236e-06,0.000524501,0.00538413,0.00024382,1.16918e-05,2.37608e-07
A_0017,3.66856e-06,0.000531175,0.00440486,0.000173618,6.87294e-06,1.13269e-07
A_0018,2.12955e-06,0.000308134,0.00565608,0.000257423,1.26307e-05,2.62732e-07
A_0019,2.8532e-06,0.000412847,0.00494485,0.000221798,9.74659e-06,1.79952e-07
A_0020,4.47484e-06,0.000648255,0.00379811,0.000125805,4.32515e-06,6.15347e-08
A_0021,4.9404e-06,0.000715658,0.00410062,0.000140627,5.13718e-06,7.75944e-08
A_0022,3.26821e-06,0.000473144,0.00521358,0.0002459,1.14645e-05,2.25679e-07
A_0023,2.52322e-06,0.000365185,0.00485302,0.000183368,7.73996e-06,1.36259e-07
A_0024,4.03755e-06,0.000584842,0.00352135,0.000107564,3.40667e-06,4.46862e-08
A_0025,2.27194e-06,0.000328853,0.00408454,0.000133458,4.81269e-06,7.19175e-08
A_0026,3.84938e-06,0.000557472,0.00503612,0.000223364,1.00564e-05,1.91076e-07
A_0027,4.60884e-06,0.000667037,0.00544955,0.000262062,1.29891e-05,2.74286e-07
A_0028,3.107e-06,0.000449875,0.00463733,0.000189052,7.69043e-06,1.29569e-07
A_0029,3.51493e-06,0.000509067,0.00377973,0.000133504,4.49868e-06,6.2172e-08
A_0030,4.97411e-06,0.000720083,0.00460455,0.00018709,7.85776e-06,1.38757e-07
A_0031,4.30722e-06,0.000623492,0.00534671,0.000251313,1.18559e-05,2.36127e-07
A_0032,2.70232e-06,0.000391281,0.00439018,0.000161418,6.25405e-06,1.01016e-07
A_0033,3.37988e-06,0.000489219,0.00492626,0.000200057,8.71571e-06,1.58804e-07
A_0034,5.1023e-06,0.000739312,0.0037722,0.00012737,4.29498e-06,6.0064e-08
A_0035,4.13696e-06,0.0005991,0.00426981,0.000160103,6.17869e-06,9.96067e-08
A_0036,2.60848e-06,0.0003774,0.00550238,0.000272148,1.31346e-05,2.66596e-07
A_0037,2.24667e-06,0.000325037,0.00534771,0.000252545,1.1796e-05,2.31438e-07
A_0038,3.76291e-06,0.000545111,0.00405974,0.000138874,5.03312e-06,7.55443e-08
A_0039,4.5537e-06,0.000659365,0.00452881,0.000177072,7.14038e-06,1.20504e-07
A_0040,2.93174e-06,0.000424306,0.00562279,0.000260369,1.31729e-05,2.83209e-07
A_0041,5.0798e-06,0.000735341,0.00505892,0.000230281,1.064e-05,2.09489e-07
A_0042,3.5863e-06,0.000519484,0.00425683,0.000137412,5.1542e-06,7.98252e-08
A_0043,2.80696e-06,0.000406498,0.00376472,0.000123118,4.07211e-06,5.52966e-08
A_0044,4.39921e-06,0.000637466,0.00473471,0.000189806,8.01303e-06,1.40945e-07
A_0045,3.95468e-06,0.000572371,0.00549974,0.000256508,1.24894e-05,2.58558e-07
A_0046,2.37922e-06,0.000344261,0.00453363,0.000188394,7.61939e-06,1.28915e-07
A_0047,3.23139e-06,0.000467885,0.00405296,0.000134658,4.79364e-06,7.07363e-08
A_0048,4.70549e-06,0.000681088,0.00484982,0.000211222,9.28959e-06,1.72521e-07
A_0049,3.09972e-06,0.00044865,0.00518493,0.000232762,1.05036e-05,1.99187e-07
A_0050,4.61289e-06,0.000667591,0.00387323,0.000125616,4.396e-06,6.38868e-08
A_0051,3.86466e-06,0.000559402,0.00452954,0.000187583,7.52402e-06,1.25526e-07
A_0052,2.26065e-06,0.000327066,0.00562739,0.000276622,1.39504e-05,2.99013e-07
A_0053,2.65798e-06,0.000384603,0.00487458,0.000196909,8.43051e-06,1.51185e-07
A_0054,4.28244e-06,0.000620153,0.00368333,0.000123093,4.06281e-06,5.54916e-08
A_0055,4.94182e-06,0.000715241,0.0040525,0.000142114,5.35979e-06,8.49534e-08
A_0056,3.44127e-06,0.000498024,0.00532569,0.000246338,1.1624e-05,2.32139e-07
A_0057,4.42882e-06,0.000641283,0.00540504,0.00023086,1.10928e-05,2.26074e-07
A_0058,2.85494e-06,0.000413168,0.00444722,0.000173664,6.89642e-06,1.14362e-07
A_0059,2.15338e-06,0.000311755,0.00414072,0.00013758,4.85827e-06,7.06188e-08
A_0060,3.64271e-06,0.000527105,0.00491905,0.000213348,9.29102e-06,1.70216e-07
A_0061,3.9779e-06,0.000575897,0.00505795,0.00024184,1.11337e-05,2.17719e-07
A_0062,2.48578e-06,0.000359859,0.00425995,0.000150315,5.58392e-06,8.56236e-08
A_0063,3.26314e-06,0.00047239,0.00362043,0.000112461,3.58754e-06,4.72226e-08
A_0064,4.8611e-06,0.000704107,0.00459384,0.000175878,7.24383e-06,1.24689e-07
A_0065,4.35964e-06,0.000631495,0.00416202,0.000141475,5.22486e-06,7.99149e-08
A_0066,2.74702e-06,0.000397525,0.00528547,0.000247031,1.15877e-05,2.31351e-07
A_0067,3.55199e-06,0.000514215,0.00474691,0.000194845,8.26452e-06,1.46779e-07
A_0068,4.97558e-06,0.000719745,0.00336514,0.00011056,3.53646e-06,4.69502e-08
A_0069,4.72204e-06,0.000683425,0.00434079,0.000173307,6.82458e-06,1.12728e-07
A_0070,3.17694e-06,0.000459735,0.00561012,0.000258324,1.26467e-05,2.61024e-07
A_0071,2.35917e-06,0.000341296,0.00506079,0.000221542,9.9388e-06,1.87769e-07
A_0072,3.96838e-06,0.000574673,0.00392108,0.000125683,4.4177e-06,6.43776e-08
A_0073,2.60587e-06,0.000377434,0.00394029,0.000134734,4.65572e-06,6.65284e-08
A_0074,4.06036e-06,0.000588019,0.00473708,0.000188446,8.13972e-06,1.47165e-07
A_0075,4.94348e-06,0.000715634,0.00528513,0.000252357,1.19241e-05,2.37563e-07
A_0076,3.34635e-06,0.000484474,0.00435107,0.000162446,6.31136e-06,1.02268e-07
A_0077,2.95121e-06,0.00042724,0.00411188,0.000144258,5.26335e-06,7.95238e-08
A_0078,4.53681e-06,0.000657106,0.00503148,0.000245146,1.11225e-05,2.13463e-07
A_0079,3.72293e-06,0.000538824,0.00561004,0.000267209,1.34325e-05,2.86734e-07
A_0080,2.22403e-06,0.000321873,0.00482217,0.000195101,8.09998e-06,1.39072e-07
A_0081,2.1183e-06,0.00030651,0.0053229,0.000229261,1.07678e-05,2.12646e-07
A_0082,3.73963e-06,0.000541601,0.00420304,0.000154964,5.78552e-06,8.96525e-08
A_0083,4.49158e-06,0.000650603,0.00352434,0.000108211,3.47232e-06,4.60154e-08
A_0084,2.99314e-06,0.000433192,0.00490626,0.000205547,8.6288e-06,1.50315e-07
A_0085,3.30513e-06,0.000478431,0.00550156,0.000273549,1.34827e-05,2.80977e-07
A_0086,4.80673e-06,0.000695858,0.0042462,0.000156304,6.09025e-06,9.92248e-08
A_0087,4.14211e-06,0.000599893,0.00389251,0.000128492,4.43309e-06,6.29932e-08
A_0088,2.52057e-06,0.000364745,0.00508391,0.000194733,8.73857e-06,1.64236e-07
A_0089,3.87237e-06,0.000560752,0.00478121,0.000202169,8.68654e-06,1.5644e-07
A_0090,2.38281e-06,0.000345077,0.00398474,0.000121191,4.12546e-06,5.7585e-08
A_0091,3.08258e-06,0.000446382,0.00430688,0.000166259,6.38054e-06,1.01959e-07
A_0092,4.6897e-06,0.000678928,0.00527373,0.000242587,1.15388e-05,2.32971e-07
A_0093,5.08498e-06,0.00073639,0.00497731,0.000212056,9.45208e-06,1.7702e-07
A_0094,3.49836e-06,0.000506545,0.0040248,0.000149829,5.38525e-06,8.04026e-08
A_0095,2.73088e-06,0.000395431,0.00468368,0.000181853,7.49065e-06,1.29312e-07
A_0096,4.19273e-06,0.000606735,0.00542928,0.00026706,1.32154e-05,2.78012e-07
A_0097,4.7131e-06,0.000682288,0.00390951,0.000141984,5.12751e-06,7.74618e-08
A_0098,3.21255e-06,0.000464927,0.00522504,0.000224067,1.02616e-05,1.98497e-07
A_0099,2.40774e-06,0.000348275,0.00570399,0.000298746,1.50717e-05,3.23289e-07
A_0100,4.02632e-06,0.000583025,0.00464959,0.000184854,7.59478e-06,1.30561e-07
A_0101,3.6333e-06,0.000526046,0.00386102,0.000124947,4.26931e-06,6.00649e-08
A_0102,2.03637e-06,0.000294624,0.0050142,0.000228112,1.01428e-05,1.90225e-07
A_0103,2.85282e-06,0.000412889,0.00557965,0.000249164,1.21391e-05,2.48843e-07
A_0104,4.37133e-06,0.000632845,0.00427719,0.000159325,6.11713e-06,9.76712e-08
A_0105,3.37671e-06,0.000488825,0.00450463,0.000159791,6.40113e-06,1.06631e-07
A_0106,4.98705e-06,0.000722101,0.00544529,0.000262673,1.28391e-05,2.68037e-07
A_0107,4.07898e-06,0.000590518,0.00484111,0.000208377,9.339e-06,1.76511e-07
A_0108,2.64098e-06,0.000382401,0.00408477,0.000145301,5.17873e-06,7.63709e-08
A_0109,2.28197e-06,0.000330305,0.00445378,0.000174571,6.7076e-06,1.06724e-07
A_0110,3.77424e-06,0.000546218,0.00526058,0.000234002,1.09227e-05,2.1504e-07
A_0111,4.58028e-06,0.000663327,0.00467511,0.000192824,8.06776e-06,1.41599e-07
A_0112,3.00099e-06,0.00043469,0.00373177,0.000116226,3.87291e-06,5.33833e-08
A_0113,2.46463e-06,0.000356764,0.00489243,0.000199411,8.44846e-06,1.49321e-07
A_0114,3.98943e-06,0.000577914,0.00354964,0.000114691,3.65514e-06,4.79706e-08
A_0115,4.78154e-06,0.000692891,0.00404631,0.000134835,4.89792e-06,7.39421e-08
A_0116,3.17012e-06,0.000458645,0.00519638,0.000239123,1.10872e-05,2.17674e-07
A_0117,3.55442e-06,0.000514522,0.00489867,0.000208812,9.13771e-06,1.68226e-07
A_0118,5.22947e-06,0.00075727,0.0037556,0.000116153,3.99013e-06,5.6945e-08
A_0119,4.30887e-06,0.000623803,0.00425718,0.000167609,6.53594e-06,1.06678e-07
A_0120,2.80928e-06,0.000406485,0.00555465,0.000254129,1.23847e-05,2.55267e-07
A_0121,3.77468e-06,0.000546328,0.00530229,0.000249708,1.17678e-05,2.32931e-07
A_0122,2.2112e-06,0.000319895,0.00438266,0.000161751,6.25145e-06,1.00675e-07
A_0123,3.06226e-06,0.000443622,0.00386838,0.000128613,4.34624e-06,6.05195e-08
A_0124,4.54177e-06,0.000657616,0.00470544,0.000182262,7.71569e-06,1.37318e-07
A_0125,4.80431e-06,0.00069543,0.00529373,0.000246146,1.20733e-05,2.52428e-07
A_0126,3.39305e-06,0.000491172,0.00457318,0.000179979,7.24166e-06,1.21168e-07
A_0127,2.60279e-06,0.000376922,0.00409637,0.000140829,5.06264e-06,7.53496e-08
A_0128,4.21456e-06,0.00061007,0.00505727,0.000239692,1.08023e-05,2.05442e-07
A_0129,5.10749e-06,0.000739622,0.00449207,0.000192667,7.76688e-06,1.31016e-07
A_0130,3.4711e-06,0.000502235,0.00563436,0.000280259,1.40987e-05,3.03862e-07
A_0131,2.71447e-06,0.000392836,0.00522627,0.000240929,1.11089e-05,2.1591e-07
A_0132,4.21652e-06,0.000610621,0.00395385,0.000132217,4.73268e-06,7.04534e-08
A_0133,3.88558e-06,0.00056251,0.00432479,0.000156715,6.103e-06,9.89797e-08
A_0134,2.37483e-06,0.000343592,0.00564889,0.000268717,1.31087e-05,2.6853e-07
A_0135,3.06493e-06,0.000443595,0.00487665,0.00020058,8.71102e-06,1.57878e-07
A_0136,4.72355e-06,0.000684412,0.00372004,0.000128047,4.30761e-06,6.03591e-08
A_0137,3.31008e-06,0.000479451,0.00399013,0.000133942,4.74691e-06,6.94151e-08
A_0138,4.75728e-06,0.000688444,0.00476985,0.000209109,9.16026e-06,1.68921e-07
A_0139,4.07345e-06,0.000589832,0.00550462,0.0002433,1.19546e-05,2.46328e-07
A_0140,2.51158e-06,0.000363494,0.00457518,0.000182587,7.41628e-06,1.25322e-07
A_0141,2.11815e-06,0.000306751,0.00379414,0.00012189,4.04055e-06,5.49434e-08
A_0142,3.70298e-06,0.000536053,0.00477625,0.00018848,7.95236e-06,1.40912e-07
A_0143,4.43908e-06,0.00064272,0.00513331,0.000249513,1.16054e-05,2.28671e-07
A_0144,2.9567e-06,0.000428189,0.00436834,0.000156969,5.92544e-06,9.25066e-08
A_0145,2.81962e-06,0.000407893,0.00559855,0.0002882,1.4459e-05,3.06989e-07
A_0146,4.41472e-06,0.000639739,0.00449608,0.000176033,7.10853e-06,1.2001e-07
A_0147,3.64653e-06,0.000528276,0.00404204,0.000146172,5.28518e-06,7.94559e-08
A_0148,2.10488e-06,0.00030458,0.0053278,0.000227163,1.04504e-05,2.01262e-07
A_0149,2.46693e-06,0.000356987,0.00548561,0.000242855,1.17255e-05,2.40065e-07
A_0150,3.9448e-06,0.000571247,0.00417441,0.000154338,5.86358e-06,9.29651e-08
A_0151,4.86957e-06,0.000704969,0.00367288,0.000116125,3.86977e-06,5.3255e-08
A_0152,3.23097e-06,0.000467652,0.00484395,0.000215232,9.37239e-06,1.71115e-07
A_0153,4.60925e-06,0.000667509,0.00487449,0.000206159,9.12086e-06,1.69671e-07
A_0154,3.11921e-06,0.00045177,0.00405032,0.000140347,4.92826e-06,7.10803e-08
A_0155,2.26234e-06,0.000327405,0.00457943,0.000157006,6.28859e-06,1.04778e-07
A_0156,3.83291e-06,0.000554893,0.00548198,0.000261963,1.28002e-05,2.64586e-07
A_0157,4.25734e-06,0.000616485,0.00469388,0.000190726,7.90992e-06,1.37476e-07
A_0158,2.66754e-06,0.000386164,0.00373346,0.000114167,3.75641e-06,5.1044e-08
A_0159,3.46115e-06,0.000501103,0.0042102,0.000159529,5.94877e-06,9.18649e-08
A_0160,4.90531e-06,0.00071008,0.00499857,0.000217562,9.93197e-06,1.91503e-07
A_0161,4.08633e-06,0.000591172,0.00359238,0.000114019,3.74993e-06,5.111e-08
A_0162,2.56822e-06,0.000371662,0.00488001,0.00021059,9.00217e-06,1.60187e-07
A_0163,3.3135e-06,0.000479501,0.00529576,0.000231635,1.09253e-05,2.17355e-07
A_0164,4.95568e-06,0.000717812,0.00413671,0.000154477,5.81155e-06,9.07799e-08
A_0165,4.55327e-06,0.000659393,0.00390408,0.000131894,4.6019e-06,6.66496e-08
A_0166,2.92359e-06,0.000423095,0.0050657,0.000207177,9.38992e-06,1.78912e-07
A_0167,2.21498e-06,0.000320438,0.00577118,0.000294899,1.49116e-05,3.19078e-07
A_0168,3.72154e-06,0.000539034,0.00449217,0.000170261,6.82826e-06,1.14261e-07
A_0169,2.76386e-06,0.000399991,0.00446648,0.000176796,6.94529e-06,1.13421e-07
A_0170,4.34816e-06,0.000629728,0.00540887,0.000252647,1.22155e-05,2.49596e-07
A_0171,5.03334e-06,0.000729037,0.00468703,0.000200289,8.66738e-06,1.57673e-07
A_0172,3.55069e-06,0.000514411,0.00386198,0.000119236,4.08282e-06,5.73263e-08
A_0173,3.25428e-06,0.000471257,0.00486828,0.000191297,7.99592e-06,1.38919e-07
A_0174,4.67737e-06,0.000677118,0.00553826,0.000275255,1.36901e-05,2.90294e-07
A_0175,3.92919e-06,0.000568818,0.00515896,0.0002243,1.02105e-05,1.94779e-07
A_0176,2.36097e-06,0.000341796,0.0042012,0.000163122,6.05538e-06,9.28986e-08
A_0177,3.83034e-06,0.000554588,0.00384318,0.00013537,4.61422e-06,6.54062e-08
A_0178,2.22389e-06,0.000321764,0.00498838,0.00021738,9.73659e-06,1.83116e-07
A_0179,3.06165e-06,0.000443019,0.00556662,0.000271057,1.32402e-05,2.73617e-07
A_0180,4.56779e-06,0.000661489,0.00427681,0.000153455,5.93045e-06,9.55028e-08
A_0181,4.97226e-06,0.000719575,0.00340666,9.94435e-05,3.14577e-06,4.15497e-08
A_0182,3.42596e-06,0.00049595,0.00470088,0.000188919,7.83198e-06,1.34902e-07
A_0183,2.634e-06,0.000381102,0.0052874,0.000230161,1.06823e-05,2.08032e-07
A_0184,4.29391e-06,0.000621932,0.00414988,0.000152652,5.57723e-06,8.45561e-08
A_0185,2.07997e-06,0.000300954,0.0047392,0.00018503,7.59338e-06,1.29608e-07
A_0186,3.56013e-06,0.000515273,0.00548932,0.000271851,1.33365e-05,2.77379e-07
A_0187,4.3825e-06,0.000634689,0.00498597,0.000204337,9.08246e-06,1.70229e-07
A_0188,2.79367e-06,0.000404539,0.00400505,0.000142638,5.129e-06,7.66711e-08
A_0189,3.22018e-06,0.000466201,0.00429825,0.000160558,6.07455e-06,9.55267e-08
A_0190,4.82042e-06,0.000698117,0.0052539,0.000233892,1.09854e-05,2.17682e-07
A_0191,3.97817e-06,0.000575839,0.00469614,0.000221539,9.46792e-06,1.69934e-07
A_0192,2.46842e-06,0.000357659,0.0038761,0.000125271,4.2138e-06,5.83642e-08
A_0193,3.52343e-06,0.000509938,0.00541182,0.000255416,1.23011e-05,2.50562e-07
A_0194,5.03435e-06,0.000728765,0.00411568,0.000163238,6.17467e-06,9.76512e-08
A_0195,4.37947e-06,0.000633995,0.0037814,0.000117284,3.91849e-06,5.4026e-08
A_0196,2.73104e-06,0.000395291,0.00493295,0.000214893,9.40373e-06,1.71853e-07
A_0197,2.30905e-06,0.000334011,0.00564945,0.000279331,1.4071e-05,3.02758e-07
A_0198,3.9077e-06,0.000565743,0.00457802,0.000173135,7.07789e-06,1.21394e-07
A_0199,4.68032e-06,0.000677513,0.00391962,0.000142289,5.09728e-06,7.58409e-08
A_0200,3.12963e-06,0.000453058,0.005195,0.000221849,1.01119e-05,1.9208e-07
A_0201,4.92857e-06,0.000713604,0.00464374,0.000189604,7.81786e-06,1.34873e-07
A_0202,3.32183e-06,0.000481612,0.00368013,0.000113561,3.70833e-06,4.9982e-08
A_0203,2.56362e-06,0.000371032,0.00433731,0.000160561,6.08699e-06,9.58257e-08
A_0204,4.02416e-06,0.000582498,0.00512662,0.000211622,9.79104e-06,1.91499e-07
A_0205,3.68431e-06,0.000533289,0.00496229,0.000206213,9.1753e-06,1.71673e-07
A_0206,2.17797e-06,0.000315331,0.00411961,0.000141261,5.02743e-06,7.31848e-08
A_0207,2.86024e-06,0.000413925,0.00442231,0.000168994,6.72521e-06,1.12158e-07
A_0208,4.47097e-06,0.000647192,0.00538104,0.000273075,1.3326e-05,2.76229e-07
A_0209,4.51242e-06,0.000653784,0.00416612,0.00015423,5.85375e-06,9.27555e-08
A_0210,3.00066e-06,0.000434231,0.00543785,0.000271493,1.29552e-05,2.59828e-07
A_0211,2.16396e-06,0.000313146,0.00488107,0.000199109,8.646e-06,1.57594e-07
A_0212,3.79214e-06,0.000549338,0.00375546,0.000127124,4.26825e-06,5.95669e-08
A_0213,4.19897e-06,0.000608263,0.00457151,0.000177774,7.13421e-06,1.19162e-07
A_0214,2.57733e-06,0.000372889,0.00568716,0.000264409,1.32917e-05,2.8428e-07
A_0215,3.38159e-06,0.000489525,0.0051264,0.000239021,1.08551e-05,2.08268e-07
A_0216,4.89718e-06,0.000708169,0.00384315,0.000129334,4.55932e-06,6.69165e-08
A_0217,3.14381e-06,0.000455315,0.00361368,0.000115924,3.73555e-06,4.96833e-08
A_0218,4.75756e-06,0.00068875,0.00459991,0.000183063,7.58685e-06,1.32604e-07
A_0219,3.92273e-06,0.000567906,0.00514829,0.00023293,1.07514e-05,2.09468e-07
A_0220,2.43505e-06,0.000352336,0.00436981,0.000144283,5.42277e-06,8.35852e-08
A_0221,2.81422e-06,0.000407722,0.00402015,0.000132559,4.69259e-06,6.81822e-08
A_0222,4.30367e-06,0.000622953,0.00483393,0.000208747,9.12712e-06,1.67533e-07
A_0223,5.20979e-06,0.000754543,0.00543651,0.000248828,1.19298e-05,2.41243e-07
A_0224,3.56636e-06,0.000516724,0.00443321,0.00018028,7.12939e-06,1.17176e-07
A_0225,2.48276e-06,0.000359191,0.00510351,0.000232053,1.04277e-05,1.9648e-07
A_0226,4.12947e-06,0.000598091,0.00398254,0.000135308,4.77532e-06,6.97726e-08
A_0227,4.77792e-06,0.00069197,0.00430198,0.00017118,6.79531e-06,1.13067e-07
A_0228,3.26747e-06,0.000472885,0.00559094,0.000256195,1.26365e-05,2.64803e-07
A_0229,2.90363e-06,0.00042025,0.00489541,0.000184382,7.89945e-06,1.4135e-07
A_0230,4.43122e-06,0.000641336,0.00356993,0.000111258,3.60095e-06,4.81994e-08
A_0231,3.66047e-06,0.000530369,0.00422802,0.000149064,5.59498e-06,8.71163e-08
A_0232,2.06437e-06,0.000298624,0.00529654,0.000256428,1.22668e-05,2.48961e-07
A_0233,4.19014e-06,0.000606455,0.00553437,0.000269256,1.34706e-05,2.89528e-07
A_0234,2.71684e-06,0.00039316,0.00477614,0.000198464,8.24215e-06,1.42593e-07
A_0235,3.45872e-06,0.000500952,0.00411044,0.00013388,4.86324e-06,7.29452e-08
A_0236,5.11136e-06,0.000740034,0.00509887,0.000227045,1.03055e-05,1.96735e-07
A_0237,4.62695e-06,0.000669767,0.00529669,0.000251055,1.19371e-05,2.4092e-07
A_0238,3.04307e-06,0.000440539,0.00437294,0.000162601,6.38376e-06,1.04651e-07
A_0239,2.33656e-06,0.000338424,0.00401006,0.000144145,5.01049e-06,7.16114e-08
A_0240,3.8289e-06,0.00055413,0.00483819,0.000200006,8.65261e-06,1.56258e-07
A_0241,3.81997e-06,0.000553066,0.0042159,0.000155121,5.86657e-06,9.21163e-08
A_0242,2.30535e-06,0.00033357,0.00550729,0.000244619,1.17953e-05,2.39729e-07
A_0243,3.06733e-06,0.000444029,0.00485268,0.00021536,9.29826e-06,1.69212e-07
A_0244,4.74344e-06,0.000687044,0.00370294,0.00011636,3.83339e-06,5.22955e-08
A_0245,5.02047e-06,0.000727025,0.00439372,0.000170596,6.78326e-06,1.13344e-07
A_0246,3.39837e-06,0.000491698,0.00548917,0.000283742,1.39263e-05,2.92634e-07
A_0247,2.69459e-06,0.00038999,0.00520654,0.000220261,1.00305e-05,1.90443e-07
A_0248,4.23804e-06,0.000614144,0.00392635,0.000140592,4.99954e-06,7.40767e-08
A_0249,2.1116e-06,0.000305644,0.00377375,0.00011571,3.804e-06,5.15214e-08
A_0250,3.70292e-06,0.000536052,0.0047449,0.000192725,8.00397e-06,1.3847e-07
A_0251,4.36095e-06,0.000631226,0.00503997,0.00021924,1.00096e-05,1.91999e-07
A_0252,2.89635e-06,0.00041952,0.00424474,0.000161543,6.00059e-06,9.23938e-08
A_0253,3.29849e-06,0.000477757,0.00394327,0.000135751,4.68579e-06,6.67341e-08
A_0254,4.80733e-06,0.000695868,0.00479807,0.000202279,8.82771e-06,1.62992e-07
A_0255,4.02781e-06,0.000582998,0.00539459,0.000256504,1.24338e-05,2.54903e-07
A_0256,2.44445e-06,0.000353654,0.00446057,0.000156736,6.21837e-06,1.02183e-07
A_0257,3.48621e-06,0.000504649,0.00493411,0.000193668,8.63024e-06,1.62498e-07
A_0258,5.13346e-06,0.000743258,0.00377553,0.000125425,4.31411e-06,6.16923e-08
A_0259,4.31457e-06,0.000624741,0.00438216,0.000163612,6.47148e-06,1.0676e-07
A_0260,2.80552e-06,0.000405967,0.00565509,0.000285145,1.42153e-05,3.0058e-07
A_0261,2.39311e-06,0.000346342,0.00487183,0.000207157,8.75146e-06,1.54427e-07
A_0262,3.93103e-06,0.000568864,0.00359891,0.000112668,3.66919e-06,4.95104e-08
A_0263,4.81472e-06,0.000697316,0.00415863,0.000153478,5.72572e-06,8.85312e-08
A_0264,3.15395e-06,0.000456383,0.00530897,0.000229596,1.07696e-05,2.12994e-07
A_0265,4.83847e-06,0.000700699,0.00542609,0.000266321,1.31605e-05,2.76408e-07
A_0266,3.38358e-06,0.000489854,0.00467876,0.000181531,7.50132e-06,1.29493e-07
A_0267,2.5228e-06,0.000365218,0.00406662,0.000154573,5.65024e-06,8.6042e-08
A_0268,4.1217e-06,0.000596659,0.00507661,0.000218697,9.86081e-06,1.86844e-07
A_0269,3.77539e-06,0.000546481,0.00542474,0.00025103,1.21066e-05,2.45933e-07
A_0270,2.19521e-06,0.000317717,0.00448292,0.00017586,6.88465e-06,1.12284e-07
A_0271,2.98856e-06,0.000432799,0.00389812,0.000118757,4.0524e-06,5.66501e-08
A_0272,4.47943e-06,0.000648489,0.00472402,0.000200587,8.63506e-06,1.56442e-07
A_0273,4.5751e-06,0.000663159,0.00389073,0.000123888,4.31202e-06,6.22801e-08
A_0274,2.90864e-06,0.000420987,0.00502031,0.00021704,9.63375e-06,1.79768e-07
A_0275,2.14828e-06,0.000310825,0.00564984,0.00026161,1.2877e-05,2.67908e-07
A_0276,3.65503e-06,0.000529371,0.00437102,0.000174513,6.90376e-06,1.13686e-07
A_0277,4.0925e-06,0.000592585,0.00355688,0.000116967,3.74038e-06,4.96215e-08
A_0278,2.56242e-06,0.000370846,0.00487413,0.000200849,8.5586e-06,1.52441e-07
A_0279,3.24765e-06,0.000469939,0.00515363,0.000239045,1.11067e-05,2.18918e-07
A_0280,4.87035e-06,0.000705481,0.00403901,0.000136194,4.97592e-06,7.55272e-08
A_0281,3.14402e-06,0.000454989,0.00467422,0.000186432,7.58235e-06,1.28337e-07
A_0282,4.61758e-06,0.000668275,0.00544801,0.000255779,1.26492e-05,2.66079e-07
A_0283,3.98937e-06,0.00057756,0.00518413,0.000253173,1.14882e-05,2.19019e-07
A_0284,2.34515e-06,0.000339406,0.00417799,0.000145428,5.28251e-06,7.92687e-08
A_0285,2.70475e-06,0.000391359,0.00436216,0.000162131,6.28613e-06,1.01384e-07
A_0286,4.28193e-06,0.00061982,0.00528689,0.00025163,1.18648e-05,2.3617e-07
A_0287,5.03804e-06,0.000729388,0.00466935,0.000182818,7.77341e-06,1.38515e-07
A_0288,3.56243e-06,0.000516443,0.0038321,0.000128027,4.34354e-06,6.0634e-08
A_0289,2.45204e-06,0.000354795,0.00557596,0.000265839,1.29617e-05,2.67198e-07
A_0290,3.9673e-06,0.000574783,0.00431176,0.000156037,6.08947e-06,9.91776e-08
A_0291,4.80839e-06,0.000695894,0.00371197,0.000127839,4.33789e-06,6.10609e-08
A_0292,3.13246e-06,0.000453342,0.00482461,0.000198925,8.62459e-06,1.57497e-07
A_0293,2.81025e-06,0.000406638,0.00572657,0.000286329,1.45911e-05,3.17311e-07
A_0294,4.43495e-06,0.000642394,0.00460952,0.000195451,7.99772e-06,1.36401e-07
A_0295,3.57428e-06,0.000517278,0.00407849,0.000137521,4.99947e-06,7.53996e-08
A_0296,2.05862e-06,0.000297855,0.00533507,0.000247712,1.15735e-05,2.27858e-07
A_0297,4.19478e-06,0.000607517,0.00473772,0.000186453,7.87086e-06,1.39495e-07
