,4
A_0323,56.6069
A_0324,28.5677
A_0325,29.4307
A_0326,62.7816
A_0327,51.9898
A_0328,27.8495
A_0329,38.2277
A_0330,32.3613
A_0331,34.7319
A_0332,43.8985
A_0333,63.0378
A_0334,44.7793
A_0335,33.4429
A_0336,40.6814
A_0337,46.2966
A_0338,23.3438
A_0339,32.4177
A_0340,70.172
A_0341,56.4128
A_0342,27.4508
A_0343,26.2638
A_0344,47.8987
A_0345,33.1607
A_0346,39.6973
A_0347,46.2049
A_0348,35.7788
A_0349,37.97
A_0350,48.1607
A_0351,33.1035
A_0352,29.0882
A_0353,31.9065
A_0354,62.4239
A_0355,43.6987
A_0356,23.7984
A_0357,27.509
A_0358,51.8615
A_0359,62.8415
A_0360,29.0409
A_0361,40.3508
A_0362,33.1492
A_0363,31.1724
A_0364,35.9759
A_0365,33.0827
A_0366,28.8294
A_0367,38.3076
A_0368,49.9249
A_0369,49.5008
A_0370,26.0105
A_0371,27.2328
A_0372,59.6128
A_0373,59.6695
A_0374,30.257
A_0375,22.4257
A_0376,41.6341
A_0377,31.569
A_0378,37.8782
A_0379,59.5765
A_0380,42.6178
A_0381,36.5589
A_0382,47.0147
A_0383,40.5323
A_0384,33.874
A_0385,27.3193
A_0386,54.0352
A_0387,46.5425
A_0388,26.2005
A_0389,23.4037
A_0390,44.8779
A_0391,66.2025
A_0392,32.0114
A_0393,50.545
A_0394,39.002
A_0395,29.6253
A_0396,34.1102
A_0397,41.2442
A_0398,33.909
A_0399,36.8113
A_0400,48.852
A_0401,66.6098
A_0402,30.9305
A_0403,29.0636
A_0404,54.5188
A_0405,41.3705
A_0406,22.0561
A_0407,29.9099
A_0408,59.6633
A_0409,40.1897
A_0410,53.1948
A_0411,35.3637
A_0412,30.3305
A_0413,29.5484
A_0414,33.6955
A_0415,37.4946
A_0416,31.252
A_0417,25.3077
A_0418,46.7303
A_0419,55.0062
A_0420,26.3226
A_0421,35.4478
A_0422,76.0704
A_0423,50.3135
A_0424,25.7709
A_0425,31.8454
A_0426,28.1894
A_0427,36.9832
A_0428,46.744
A_0429,51.2314
A_0430,38.6884
A_0431,35.5632
A_0432,43.3841
A_0433,26.8148
A_0434,49.4516
A_0435,58.8427
A_0436,28.1416
A_0437,27.4193
A_0438,53.5015
A_0439,37.6475
A_0440,20.2737
A_0441,38.4801
A_0442,32.2009
A_0443,42.8844
A_0444,58.7424
A_0445,41.2089
A_0446,33.3335
A_0447,31.2457
A_0448,36.3735
A_0449,51.8461
A_0450,25.7731
A_0451,24.8865
A_0452,44.7867
A_0453,47.8764
A_0454,25.2929
A_0455,34.3313
A_0456,70.4181
A_0457,37.4518
A_0458,48.1546
A_0459,32.1602
A_0460,28.2759
A_0461,35.9372
A_0462,44.4118
A_0463,53.253
A_0464,39.2845
A_0465,29.9638
A_0466,66.9926
A_0467,54.2872
A_0468,28.2154
A_0469,24.3262
A_0470,45.4407
A_0471,65.8995
A_0472,32.8526
A_0473,52.8342
A_0474,39.5642
A_0475,29.5511
A_0476,34.3888
A_0477,37.2674
A_0478,31.912
A_0479,34.0982
A_0480,42.2743
A_0481,48.1744
A_0482,26.6127
A_0483,27.8548
A_0484,56.6514
A_0485,70.2245
A_0486,32.8153
A_0487,23.7462
A_0488,46.6281
A_0489,29.4037
A_0490,33.5158
A_0491,48.4909
A_0492,38.2675
A_0493,36.1258
A_0494,46.6187
A_0495,40.0843
A_0496,33.4707
A_0497,26.6388
A_0498,29.5075
A_0499,43.1522
A_0500,34.9252
A_0501,36.3803
A_0502,46.8526
A_0503,40.3481
A_0504,33.7075
A_0505,46.0382
A_0506,25.3312
A_0507,26.3224
A_0508,53.7456
A_0509,73.5045
A_0510,35.1699
A_0511,25.7846
A_0512,49.3951
A_0513,56.2943
A_0514,41.7862
A_0515,31.4943
A_0516,37.2366
A_0517,35.3228
A_0518,30.6105
A_0519,32.5386
A_0520,39.6966
A_0521,30.3094
A_0522,66.8537
A_0523,54.3705
A_0524,28.5175
A_0525,21.4399
A_0526,40.9257
A_0527,59.6528
A_0528,29.3281
A_0529,40.9993
A_0530,54.1615
A_0531,36.4654
A_0532,31.1461
A_0533,35.6399
A_0534,44.1148
A_0535,53.0767
A_0536,38.974
A_0537,54.5857
A_0538,27.1687
A_0539,26.0557
A_0540,46.7976
A_0541,45.1226
A_0542,23.1989
A_0543,31.9421
A_0544,67.2668
A_0545,35.4629
A_0546,30.1454
A_0547,40.558
A_0548,55.1597
A_0549,43.8262
A_0550,34.862
A_0551,32.5089
A_0552,38.3056
A_0553,26.4301
A_0554,49.2692
A_0555,58.8161
A_0556,27.6994
A_0557,30.6011
A_0558,58.9821
A_0559,41.6836
A_0560,22.8944
A_0561,32.6348
A_0562,28.7304
A_0563,37.6357
A_0564,47.7942
A_0565,45.7408
A_0566,35.3867
A_0567,32.8102
A_0568,39.2604
A_0569,27.474
A_0570,49.9624
A_0571,59.2615
A_0572,28.9052
A_0573,34.0836
A_0574,73.8204
A_0575,48.614
A_0576,24.6319
A_0577,38.9332
A_0578,51.1596
A_0579,33.7912
A_0580,29.2674
A_0581,31.5966
A_0582,36.6418
A_0583,41.2683
A_0584,33.6685
A_0585,60.9204
A_0586,27.5311
A_0587,26.2431
A_0588,50.2837
A_0589,42.1997
A_0590,22.6002
A_0591,30.5672
A_0592,60.7829
A_0593,47.5705
A_0594,37.3773
A_0595,28.4255
A_0596,32.2469
A_0597,44.0445
A_0598,35.907
A_0599,39.147
A_0600,52.3083
A_0601,24.2413
A_0602,48.4196
A_0603,42.3204
A_0604,23.6044
A_0605,23.897
A_0606,45.0034
A_0607,65.5768
A_0608,32.4049
A_0609,31.9289
A_0610,38.2329
A_0611,59.1455
A_0612,42.7823
A_0613,33.0576
A_0614,41.0084
A_0615,36.1051
A_0616,30.9799
A_0617,51.9745
A_0618,28.1205
A_0619,29.7335
A_0620,62.5112
A_0621,56.4976
A_0622,28.8541
A_0623,21.3779
A_0624,39.6278
A_0625,39.7887
A_0626,32.6579
A_0627,30.7254
A_0628,35.4397
A_0629,37.3457
A_0630,31.6118
A_0631,41.8315
A_0632,56.1463
A_0633,29.4815
A_0634,59.4684
A_0635,40.9882
A_0636,21.6275
A_0637,28.6642
A_0638,54.2754
A_0639,66.5157
A_0640,30.4691
A_0641,34.3883
A_0642,41.7196
A_0643,49.1445
A_0644,37.3097
A_0645,35.7144
A_0646,44.8901
A_0647,30.2264
A_0648,27.0432
A_0649,51.3598
A_0650,26.2119
A_0651,36.0964
A_0652,78.0343
A_0653,56.298
A_0654,26.8121
A_0655,25.7089
A_0656,47.6043
A_0657,39.528
A_0658,33.2667
A_0659,35.7996
A_0660,45.5594
A_0661,57.5328
A_0662,41.6885
A_0663,30.9371
A_0664,36.7894
A_0665,23.5072
A_0666,42.8967
A_0667,60.9305
A_0668,31.4354
A_0669,28.5718
A_0670,61.0863
A_0671,50.783
A_0672,27.1403
A_0673,37.0181
A_0674,48.9075
A_0675,41.4238
A_0676,34.1153
A_0677,29.8628
A_0678,34.3842
A_0679,50.5569
A_0680,39.1608
A_0681,62.649
A_0682,30.3182
A_0683,22.0865
A_0684,42.553
A_0685,44.4442
A_0686,24.9532
A_0687,25.8357
A_0688,51.2103
A_0689,34.768
A_0690,43.1614
A_0691,38.036
A_0692,32.5026
A_0693,30.2184
A_0694,35.3034
A_0695,53.6221
A_0696,40.2241
A_0697,63.2871
A_0698,31.6729
A_0699,23.4302
A_0700,43.7772
A_0701,52.238
A_0702,27.1943
A_0703,28.7029
A_0704,63.8807
A_0705,37.255
A_0706,31.6381
A_0707,33.9006
A_0708,42.7433
A_0709,45.1111
A_0710,36.2127
A_0711,27.752
A_0712,31.0905
A_0713,23.6485
A_0714,46.067
A_0715,68.8963
A_0716,32.5673
A_0717,27.6945
A_0718,55.8
A_0719,47.6525
A_0720,26.4911
A_0721,31.2934
A_0722,36.508
A_0723,41.4632
A_0724,33.4117
A_0725,43.0787
A_0726,59.3803
A_0727,38.6623
A_0728,32.2617
A_0729,39.9726
A_0730,21.7479
A_0731,29.2277
A_0732,56.7179
A_0733,62.6758
A_0734,30.1356
A_0735,28.469
A_0736,52.2198
A_0737,55.6569
A_0738,40.5046
A_0739,36.9113
A_0740,46.0367
A_0741,33.4326
A_0742,29.104
A_0743,38.5354
A_0744,50.0967
A_0745,33.4176
A_0746,69.5538
A_0747,46.919
A_0748,24.4496
A_0749,24.105
A_0750,43.8988
A_0751,50.813
A_0752,24.8573
A_0753,60.5414
A_0754,43.7184
A_0755,32.7697
A_0756,39.4559
A_0757,37.2039
A_0758,31.7594
A_0759,33.9699
A_0760,42.3862
A_0761,28.7414
A_0762,60.4973
A_0763,50.5465
A_0764,27.3012
A_0765,20.657
A_0766,38.451
A_0767,54.825
A_0768,27.9566
A_0769,28.7681
A_0770,32.9487
A_0771,49.5224
A_0772,38.1561
A_0773,40.0898
A_0774,55.0002
A_0775,45.5272
A_0776,36.562
A_0777,45.7195
A_0778,25.3247
A_0779,26.3027
A_0780,53.1858
A_0781,72.404
A_0782,35.0294
A_0783,25.7726
A_0784,48.9794
A_0785,33.5546
A_0786,29.0418
A_0787,38.836
A_0788,51.3631
A_0789,41.1894
A_0790,33.4943
A_0791,31.4206
A_0792,36.4882
A_0793,27.6975
A_0794,53.0871
A_0795,65.0872
A_0796,29.3156
A_0797,32.2339
A_0798,64.3063
A_0799,44.5033
A_0800,23.8861
A_0801,37.6335
A_0802,47.343
A_0803,32.8051
A_0804,28.9436
A_0805,32.9343
A_0806,39.1945
A_0807,45.3226
A_0808,35.4545
A_0809,55.2773
A_0810,27.3048
A_0811,26.1603
A_0812,47.2272
A_0813,45.5822
A_0814,23.2839
A_0815,32.1494
A_0816,68.3361
A_0817,41.7848
A_0818,57.4096
A_0819,36.9768
A_0820,31.1111
A_0821,33.408
A_0822,39.6611
A_0823,45.6398
A_0824,35.9434
A_0825,57.6227
A_0826,26.8108
A_0827,25.6829
A_0828,48.3067
A_0829,40.7814
A_0830,22.1896
A_0831,29.8071
A_0832,57.9586
A_0833,33.4398
A_0834,29.2487
A_0835,38.3461
A_0836,49.0952
A_0837,47.2238
A_0838,36.1426
A_0839,33.4128
A_0840,40.2674
A_0841,25.9003
A_0842,45.5852
A_0843,52.569
A_0844,26.9421
A_0845,31.4877
A_0846,64.0388
A_0847,43.8541
A_0848,23.134
A_0849,30.1322
A_0850,35.0735
A_0851,52.8335
A_0852,39.9601
A_0853,31.0367
A_0854,37.1665
A_0855,33.4354
A_0856,29.3647
A_0857,54.2292
A_0858,28.856
A_0859,30.6816
A_0860,66.2353
A_0861,59.3365
A_0862,29.6835
A_0863,21.8606
A_0864,41.1024
A_0865,46.4144
A_0866,36.7671
A_0867,28.0013
A_0868,31.5765
A_0869,43.0927
A_0870,35.3642
A_0871,38.4519
A_0872,50.8524
A_0873,26.0881
A_0874,54.6611
A_0875,46.4592
A_0876,25.1103
A_0877,25.5565
A_0878,50.0098
A_0879,75.6922
A_0880,35.196
A_0881,34.9049
A_0882,42.6144
A_0883,50.5033
A_0884,37.9676
A_0885,36.2936
A_0886,45.9731
A_0887,30.8646
A_0888,27.4516
A_0889,46.0994
A_0890,24.4864
A_0891,33.1809
A_0892,67.3081
A_0893,49.7077
A_0894,24.8858
A_0895,24.1473
A_0896,43.2728
A_0897,43.8897
A_0898,34.7743
A_0899,32.4073
A_0900,38.2575
A_0901,40.6973
A_0902,33.4877
A_0903,44.7682
A_0904,62.8365
A_0905,28.6389
A_0906,56.4992
A_0907,39.4677
A_0908,21.1463
A_0909,27.918
A_0910,51.9273
A_0911,62.5995
A_0912,29.5042
A_0913,36.2182
A_0914,47.292
A_0915,40.3459
A_0916,33.4828
A_0917,29.3234
A_0918,33.5335
A_0919,49.1449
A_0920,38.4084
A_0921,72.2341
