Energy,Step0,Step1,Step2,Step3,Step4,Step5,Step6
0.3,39398261684.961815,39538820629.43982,39960958174.551186,39920792492.86037,39822283959.66244,39882846603.796875,39912876628.58553
0.36499999999999994,39437505943.2979,39795981511.17251,39965272111.16657,40114793991.91344,39974318813.194954,40044514519.67443,39949649797.01571
0.41,10301010511.464603,10264781820.471317,10302057583.45863,10350432309.582613,10376483460.79397,10412167674.350365,10341846319.231604
0.43,9812739899.210573,9777767694.610117,9852863698.021635,9849178004.602665,9843188752.796839,9867061994.260622,9865847390.747553
0.455,13978453003.121891,14085128697.873222,14179993420.531944,14228577561.054733,14155114989.953896,14190841086.390049,14194191716.770931
0.48475,13143475912.206095,13190887332.095575,13249607129.520533,13281940712.696043,13338985194.93056,13350670518.383886,13278799496.713966
0.52475,21016996595.601444,21130918028.551434,21034294224.942745,21192695276.198944,21118688227.661213,21216945463.580578,21188088159.425232
0.5615,9020734642.929588,9044817298.792177,9070449621.205925,9109526348.02296,9084647917.444912,9100898474.79219,9119452590.526323
0.5865,10145164315.873829,10184073511.171822,10260761064.014257,10251881893.504921,10239693975.494463,10291544980.63861,10315795168.020245
0.635,24476899409.77997,24666922035.255737,24728071039.706833,24797219674.192287,24791188539.5067,24663278224.71653,24740384606.356575
0.6745,2953496914.9879684,2969303513.8097796,2971640578.500445,2978396287.005898,3011722494.4317455,3016618603.0758095,3032785394.663565
0.7145,22200983723.56586,22284791365.967674,22314905156.51585,22515649799.210445,22497011917.71679,22383676845.083454,22433936300.796684
0.785,19922261884.40777,20088118088.26143,20151445002.4601,20199945377.223366,20251754499.487755,20113164050.35852,20245849013.44145
0.84055,10827980904.61782,10995386775.022638,11006192558.000982,11056619545.233257,10946802634.49985,11009166242.464016,11027343412.2803
0.86805,3567529250.3004293,3652522178.1994777,3594246339.2999873,3570276767.212753,3593383551.97691,3613575288.3097005,3613064317.1766157
0.8875,6309153241.4413,6289342639.314336,6333780374.740783,6362386381.617563,6380982380.231459,6357444201.805762,6364522408.485375
0.91,4929950010.910744,4933510055.690431,4988962988.494028,5019495607.839815,4950682036.392451,4900925175.236353,4972754314.026511
